[01-Apr-2025 22:47:43 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/Assignment4/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[02-Apr-2025 01:28:30 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:30 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:30 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:30 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 43
[02-Apr-2025 01:28:30 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:31 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:31 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:31 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:32 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:32 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:32 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:32 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:48 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 01:29:54 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 144
[02-Apr-2025 02:01:47 UTC] PHP Fatal error:  Out of memory (allocated 35651584) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 230
[02-Apr-2025 02:01:48 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 241
[02-Apr-2025 02:01:57 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 230
[02-Apr-2025 02:02:02 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 02:02:06 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 241
[02-Apr-2025 02:02:07 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 26
[02-Apr-2025 02:02:17 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 02:04:22 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 02:04:58 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 02:16:21 UTC] PHP Fatal error:  Out of memory (allocated 35651584) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 02:16:21 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 02:16:21 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 231
[02-Apr-2025 02:16:22 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 231
[02-Apr-2025 02:16:23 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 238
[02-Apr-2025 02:16:23 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 02:16:24 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 224
[02-Apr-2025 02:16:27 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 19
[02-Apr-2025 02:16:27 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 238
[02-Apr-2025 02:16:34 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 224
[02-Apr-2025 02:16:39 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 19
[02-Apr-2025 02:16:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 224
[02-Apr-2025 02:16:58 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 19
[02-Apr-2025 02:17:04 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 224
[02-Apr-2025 02:17:06 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 238
[02-Apr-2025 02:17:09 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 238
[02-Apr-2025 02:17:09 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 23
[02-Apr-2025 02:17:11 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 23
[02-Apr-2025 02:17:12 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/functions.php on line 1657
[02-Apr-2025 02:17:12 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 27
[02-Apr-2025 02:17:13 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 27
[02-Apr-2025 02:17:13 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 27
[02-Apr-2025 02:17:14 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 27
[02-Apr-2025 02:17:20 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 30
[02-Apr-2025 02:19:19 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 02:19:53 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
